id,"error","correct"
1,"abberant","aberrant"
2,"abberation","aberration"
3,"abbrieviated","abbreviated"
4,"abbriviated","abbreviated"
5,"abbriviation","abbreviation"
6,"abcess","abscess"
7,"aberation","aberration"
8,"aberrent","aberrant"
9,"abilites","abilities"
10,"abillity","ability"
11,"abilty","ability"
12,"abit of","a bit of"
13,"abondon","abandon"
14,"abortificant","abortifacient"
15,"abreviate","abbreviate"
16,"abreviation","abbreviation"
17,"abritrary","arbitrary"
18,"abscence","absence"
19,"absense","absence"
20,"absorbancy","absorbency"
21,"absorbant","absorbent"
22,"absorbsion","absorption"
23,"absorbtion","absorption"
24,"absorpsion","absorption"
25,"absoulte","absolute"
26,"abudance","abundance"
27,"abundacies","abundances"
28,"abundancies","abundances"
29,"abundence","abundance"
30,"abundent","abundant"
31,"abundunt","abundant"
32,"abutts","abuts"
33,"acadamy","academy"
34,"acadmic","academic"
35,"accadamy","academy"
36,"accademy","academy"
37,"accellerate","accelerate"
38,"accelleration","acceleration"
39,"accension","accession, ascension"
40,"acceptible","acceptable"
41,"accessable","accessible"
42,"accesed","accessed"
43,"accesory","accessory"
44,"accidentaly","accidentally"
45,"accidentially","accidentally"
46,"accidently","accidentally"
47,"acclimitization","acclimatization"
48,"accomadate","accommodate"
49,"accomadation","accommodation"
50,"accomodate","accommodate"
51,"accomodation","accommodation"
52,"accompaning","accompanying"
53,"accompanyed","accompanied"
54,"accordeon","accordion"
55,"accordian","accordion"
56,"accoring","according"
57,"accoustic","acoustic"
58,"accreditate","accredit"
59,"accros","across"
60,"accross","across"
61,"accussed","accused"
62,"acedemic","academic"
63,"acertain","ascertain"
64,"acess","access"
65,"acheive","achieve"
66,"acheived","achieved"
67,"acheivement","achievement"
68,"acheives","achieves"
69,"acheiving","achieving"
70,"acheivment","achievement"
71,"achievment","achievement"
72,"achive","achieve, archive"
73,"achived","achieved, archived"
74,"ackward","awkward, backward"
75,"acolade","accolade"
76,"acomplish","accomplish"
77,"acomplished","accomplished"
78,"acomplishment","accomplishment"
79,"acording","according"
80,"acordingly","accordingly"
81,"acquaintence","acquaintance"
82,"acquiantence","acquaintance"
83,"acquiantences","acquaintances"
84,"acquistion","acquisition"
85,"acquited","acquitted"
86,"activites","activities"
87,"actualy","actually"
88,"acuracy","accuracy"
89,"acustom","accustom"
90,"acustommed","accustomed"
91,"acutally","actually"
92,"ad nauseum","ad nauseam"
93,"adaption","adaptation"
94,"adaptions","adaptations"
95,"addional","additional"
96,"addionally","additionally"
97,"additinally","additionally"
98,"additionaly","additionally"
99,"addittion","addition"
100,"addmission","admission"
101,"addmitted","admitted"
102,"addopt","adopt"
103,"addopted","adopted"
104,"addoptive","adoptive"
105,"addres","address, adders"
106,"addresable","addressable"
107,"addresing","addressing"
108,"addtion","addition"
109,"adecuate","adequate"
110,"adhearing","adhering"
111,"adition","addition"
112,"admendment","amendment"
113,"administartion","administration"
114,"adminstrate","administrate"
115,"adminstration","administration"
116,"adminstrative","administrative"
117,"adminstrator","administrator"
118,"admissability","admissibility"
119,"admissable","admissible"
120,"admited","admitted"
121,"admiting","admitting"
122,"admitt","admit"
123,"adn","and"
